Comunidad,Periodo,Ambos,Hombres,Mujeres
Andalucia,2014,38.12,43.64,32.82
Aragon,2014,45.39,50.79,40.13
Asturias,2014,40.18,44.94,35.87
Baleares,2014,45.21,48.7,41.77
Canarias,2014,41.5,44.76,38.32
Cantabria,2014,44.38,49.14,39.88
Castilla y Leon,2014,42.6,48,37.35
Castilla La Mancha,2014,41.56,48.44,34.62
Cataluña,2014,48.73,52.24,45.4
Comunidad Valenciana,2014,42.66,47.61,37.88
Extremadura,2014,37.03,42.83,31.34
Galicia,2014,41.41,45.05,38.07
Madrid,2014,50.5,55.77,45.74
Murcia,2014,44.25,49.99,38.55
Navarra,2014,50.05,55.66,44.57
Pais Vasco,2014,47.08,51.63,42.86
La Rioja,2014,48.29,54.85,41.93
Ceuta,2014,39.22,46.83,30.96
Melilla,2014,42.51,52.14,33.44
Andalucia,2015,39.04,45.36,32.97
Aragon,2015,47.6,54.79,40.6
Asturias,2015,40.61,44.97,36.67
Baleares,2015,48.82,53.55,44.16
Canarias,2015,43.06,47.73,38.51
Cantabria,2015,45.77,52.08,39.82
Castilla y Leon,2015,43.49,50,37.16
Castilla La Mancha,2015,41.85,49.17,34.47
Cataluña,2015,49.76,54.32,45.46
Comunidad Valenciana,2015,44.65,49.75,39.75
Extremadura,2015,38.38,46.15,30.75
Galicia,2015,41.82,46.2,37.79
Madrid,2015,53.08,57.54,49.06
Murcia,2015,43.4,50.8,36.06
Navarra,2015,49.49,55.46,43.65
Pais Vasco,2015,47.98,52.17,44.09
La Rioja,2015,48.83,56.06,41.83
Ceuta,2015,38.94,50.24,27.19
Melilla,2015,37.54,47.02,28.19
Andalucia,2016,40.9,47.47,34.59
Aragon,2016,50.09,57.02,43.38
Asturias,2016,41.34,44.45,38.53
Baleares,2016,52.18,56.87,47.58
Canarias,2016,45.19,50.76,39.76
Cantabria,2016,45.15,50.59,40.03
Castilla y Leon,2016,44.77,50.71,39.01
Castilla La Mancha,2016,43.58,51.49,35.62
Cataluña,2016,51.41,56.47,46.64
Comunidad Valenciana,2016,46.2,51.69,40.93
Extremadura,2016,39.29,47.79,30.96
Galicia,2016,43.43,47.64,39.56
Madrid,2016,53.44,58.47,48.9
Murcia,2016,45.83,54.31,37.45
Navarra,2016,50.42,56,44.99
Pais Vasco,2016,49.56,54.56,44.95
La Rioja,2016,50.34,56.75,44.17
Ceuta,2016,43.37,53.63,32.73
Melilla,2016,39.35,49.6,29.28
Andalucia,2017,42.15,49.03,35.55
Aragon,2017,50.93,57.57,44.52
Asturias,2017,43.59,48.06,39.56
Baleares,2017,51.42,57.75,45.22
Canarias,2017,44.7,48.57,40.95
Cantabria,2017,47.81,52.52,43.39
Castilla y Leon,2017,46.28,52.24,40.49
Castilla La Mancha,2017,45.89,54.39,37.36
Cataluña,2017,52.34,57.15,47.81
Comunidad Valenciana,2017,47.36,52.79,42.15
Extremadura,2017,38.73,46.49,31.13
Galicia,2017,44.03,47.97,40.42
Madrid,2017,53.75,58.84,49.16
Murcia,2017,47.97,56.45,39.58
Navarra,2017,52.68,58.42,47.1
Pais Vasco,2017,49.26,54.8,44.15
La Rioja,2017,51.85,58.91,45.06
Ceuta,2017,44.17,52.76,35.28
Melilla,2017,40.86,54.49,27.62
Andalucia,2018,42.96,50.16,36.04
Aragon,2018,51.39,57.36,45.62
Asturias,2018,43.29,47.27,39.71
Baleares,2018,50.19,55.24,45.23
Canarias,2018,47.66,52.78,42.69
Cantabria,2018,47.9,53.02,43.1
Castilla y Leon,2018,46.64,52.98,40.49
Castilla La Mancha,2018,46.47,55.63,37.29
Cataluña,2018,53.54,58.5,48.88
Comunidad Valenciana,2018,48.39,54.38,42.65
Extremadura,2018,40.8,49.21,32.58
Galicia,2018,44.98,49.09,41.2
Madrid,2018,54.79,59.86,50.23
Murcia,2018,47.97,56.24,39.8
Navarra,2018,52.25,56.46,48.17
Pais Vasco,2018,50.17,54.88,45.82
La Rioja,2018,51.87,56.7,47.23
Ceuta,2018,40.49,48.96,32.53
Melilla,2018,44.32,53.16,34.74
Andalucia,2019,44.71,52.08,37.65
Aragon,2019,52.48,59.16,46.03
Asturias,2019,43.27,47.46,39.48
Baleares,2019,51.77,58.17,45.45
Canarias,2019,47.41,51.68,43.26
Cantabria,2019,48.15,54.4,42.29
Castilla y Leon,2019,47.13,53.42,41.03
Castilla La Mancha,2019,49.39,58.01,40.76
Cataluña,2019,54.24,58.96,49.79
Comunidad Valenciana,2019,49.41,56.4,42.74
Extremadura,2019,43.12,52.41,34.04
Galicia,2019,46.28,50.2,42.7
Madrid,2019,55.37,60.47,50.78
Murcia,2019,49.8,58.53,41.19
Navarra,2019,53.03,57.31,48.88
Pais Vasco,2019,51.16,55.01,47.6
La Rioja,2019,52.91,56.98,49
Ceuta,2019,44.55,53.48,36.03
Melilla,2019,46.91,54.99,38.37
Andalucia,2020,44.35,51.82,37.21
Aragon,2020,52.47,57.71,47.42
Asturias,2020,43.63,47.19,40.42
Baleares,2020,49.34,55.85,42.91
Canarias,2020,48.54,52.37,44.83
Cantabria,2020,48.34,53.55,43.46
Castilla y Leon,2020,48.19,53.48,43.06
Castilla La Mancha,2020,47.39,55.97,38.78
Cataluña,2020,54.62,59.32,50.2
Comunidad Valenciana,2020,49.3,55.95,42.96
Extremadura,2020,42.04,48.54,35.7
Galicia,2020,46.31,51.42,41.63
Madrid,2020,56.28,60.74,52.28
Murcia,2020,49.3,56.88,41.81
Navarra,2020,52.54,57.77,47.48
Pais Vasco,2020,50.46,54.6,46.65
La Rioja,2020,52.48,57.73,47.44
Ceuta,2020,44.61,52.48,36.5
Melilla,2020,44.83,50.42,39.4
Andalucia,2021,43.4,50.85,36.28
Aragon,2021,51.13,57.22,45.24
Asturias,2021,43.46,47.95,39.44
Baleares,2021,48.81,53,44.69
Canarias,2021,41.47,43.75,39.27
Cantabria,2021,47.86,52.81,43.2
Castilla y Leon,2021,46.9,52.8,41.18
Castilla La Mancha,2021,47.92,56.8,39.01
Cataluña,2021,53.15,57.57,48.99
Comunidad Valenciana,2021,47.11,52.36,42.09
Extremadura,2021,41.77,48.94,34.72
Galicia,2021,45.26,49.78,41.12
Madrid,2021,55.62,60.21,51.49
Murcia,2021,49.59,58.31,41.03
Navarra,2021,51.26,54.97,47.66
Pais Vasco,2021,49.06,52.77,45.63
La Rioja,2021,51.63,58.84,44.74
Ceuta,2021,39.23,43.78,34.79
Melilla,2021,49.63,55.75,43.47
Andalucia,2022,45.43,52.2,38.96
Aragon,2022,53.23,58.57,48.12
Asturias,2022,43.89,49.95,38.45
Baleares,2022,51.72,56.9,46.62
Canarias,2022,47.34,50.98,43.85
Cantabria,2022,48.6,54.77,42.82
Castilla y Leon,2022,48.62,53.68,43.71
Castilla La Mancha,2022,50.39,58.66,42.12
Cataluña,2022,54.38,58.36,50.63
Comunidad Valenciana,2022,50.66,56.11,45.49
Extremadura,2022,44.53,51.48,37.8
Galicia,2022,46.64,51.38,42.28
Madrid,2022,56.33,61.53,51.66
Murcia,2022,51.54,58.57,44.58
Navarra,2022,53.06,55.89,50.33
Pais Vasco,2022,51.82,55.74,48.19
La Rioja,2022,53.27,58.76,48.03
Ceuta,2022,43.27,52.71,33.69
Melilla,2022,49.41,56.56,42.41
Andalucia,2023,46.5,52.63,40.65
Aragon,2023,53.37,58.19,48.76
Asturias,2023,43.22,46.33,40.41
Baleares,2023,50.58,55.22,46.03
Canarias,2023,49.53,53.86,45.37
Cantabria,2023,49.17,54.66,44.01
Castilla y Leon,2023,48.76,54.19,43.53
Castilla La Mancha,2023,50.31,58.14,42.5
Cataluña,2023,54.36,58.28,50.69
Comunidad Valenciana,2023,50.8,56.81,45.11
Extremadura,2023,45.3,51.97,38.78
Galicia,2023,47.03,50.91,43.47
Madrid,2023,56.32,60.41,52.64
Murcia,2023,51.28,58.28,44.37
Navarra,2023,51.65,55.91,47.53
Pais Vasco,2023,51.13,56.1,46.53
La Rioja,2023,53.59,59.07,48.33
Ceuta,2023,46.58,53.49,39.12
Melilla,2023,41.47,45.58,37.73
